,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1,57160
2,86376
3,61042
4,52449
5,73581
6,78384
7,91388
8,74931
9,94846
10,59339
11,61250
12,83823
13,60081
14,73884
15,63165
16,69382
17,69401
18,56187
19,58964
20,64651
21,91567
22,90590
23,63893
24,79893
25,50069
26,62989
27,64061
28,71039
29,63206
30,85873
31,90245
32,56207
33,73854
34,60074
35,79642
36,65176
37,60215
38,66287
39,70194
40,76623
41,59282
42,67643
43,57830
44,65316
45,71594
46,75595
47,80403
48,76954
49,53463
50,70870
51,75540
