,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1,54045
2,85385
3,57163
4,50415
5,68222
6,72043
7,85563
8,69394
9,72337
10,55774
11,57458
12,80316
13,56176
14,69557
15,59428
16,66684
17,64969
18,54690
19,55871
20,60141
21,87204
22,83813
23,60846
24,75112
25,47615
26,58754
27,60122
28,64763
29,59462
30,77646
31,85426
32,54565
33,70485
34,56111
35,73844
36,61030
37,56655
38,61767
39,66522
40,71608
41,54686
42,61299
43,54691
44,61208
45,67231
46,68382
47,75524
48,71371
49,51596
50,65618
51,71446
